state,level,effect_year,end_year,citation_year,policy_type,policy_type_simple,citation,authority,category_nutrition_labeling,category_institutional_procurement,category_nutrition_standards,category_product_reformulation,category_educational_campaign,category_other,category_other_who,age_children,age_elderly,data_source,description,details_voluntary,details_mandatory,details_taskforce,details_studies,details_pricing,details_farmerincentives,details_suggarfat,age_toddler,age_other,veteran,org_school,org_farmers,org_groceries,org_army,org_hospital,org_restaurant,org_vendingmachine,org_public,org_other
,national,2014,2019,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,1,0,CSPI,"Boys & Girls Club of America In February 2014, Partnership for a Healthier America (PHA) announced that National Recreation and Park Association and Boys & Girls Club of America will ensure that nationwide 5,400 sites and clubs, which have before-school programs, after-school programs, and/or summer camps, will adopt nutrition and physical activity standards over the next five years. The nutrition standards will ensure that snacks and meals have more fruits, vegetables, and whole grains, no artificial trans fats or sugar sweetened beverages, only non-fat or reduced fat dairy products, only lean meat, poultry, seafood, eggs, and beans/legumes, and that plain water is available at all times at no cost to youth and staff. http://www.nrpa.org/committohealth/ http://ahealthieramerica.org/media/news-releases/#5482,news",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,national,2012,,,Policy,Administrative Rule,,,1,0,1,0,1,0,0,0,0,CSPI,"Nutrition Standards: Cafeteria The Humphrey Building Cafeteria was the first federal food service operation to incorporate the HHS/General Services Administration (GSA) Health and Sustainability Guidelines for Federal Concessions and Vending Operations. http://www.cdc.gov/chronicdisease/resources/guidelinesood-service-guidelines.htm. As of March 2012, all of GSA’s 32 federal facilities in the Capital Region have incorporated the guidelines in full or in part. The goals of the guidelines are to eliminate industrially produced trans fats, decrease sodium content, and allow individuals to make informed choices through labeling of menu items. Monthly cafeteria sales increased by 34 percent on average compared to the same time period in the year before the changes were made. The agency believes that the success of the program is due, in part, to educating consumers about the changes and support from key leadership at all levels. http://www.cspinet.org/new/pdf/case_study_humphrey_building_cafeteria_experience _may_2012.pdf",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
,national,2012,,,Policy,Administrative Rule,,,1,0,1,1,1,0,0,0,0,CSPI,"Nutrition Standards: Meals The United States Army has established a feeding standard for 10 Initial Military Training (IMT) installations around the country participating in the Soldier Fueling Initiative (SFI). This encompasses Department of Defense (DOD) nutrition standards, nutrition education, menu development, product selection, and preparation and serving standards. Menu standards aim to provide variety, texture, flavor, and color and address levels of fat, sodium, sugars, whole grain, and fortification with vitamins and minerals. 1        The standards specify that regular or diet sodas, breakfast pastries, sugar-free desserts, and frankfurters and other link-type meats will not be served. http://www.quartermaster.army.mil/jccoe/Operations_Directorate/QUAD/nutrition/Im plementation_Guide_January_2012.pdf",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
,national,2012,,,Policy,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Concessions On June 5, 2103, the U.S. National Park Service launched the Healthy and Sustainable Food Program (HSFP). The program requires parks to include the healthy food standards in new contracts with concessioners. In parks where the contract is not up for renewal, the park is encouraged to work with concessions to voluntarily adopt the guidelines. The standards state that all entrees or meals must come with fruit or vegetable, milk should be low-fat, 30% of beverages have no added sugars, two meals meet nutrition standards, and foods that contain no trans fat. http://concessions.nps.gov/news_healthy_food_launch.htm",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
AL,state,2009,,,Policy,Administrative Rule,,,0,0,1,0,1,0,0,0,0,CSPI,"Nutrition Standards: Vending The Alabama Department of Public Health Nutrition and Physical Activity Division developed the Alabama Healthy Vending Machine Program. The program focuses on improving nutrition standards for at least 25% of the foods and beverages in vending machines in government agencies, hospitals, universities, and private businesses. Healthier options are highlighted through the use of the Good Choice symbol, promotional materials, an informational website, strategic high-visibility placement of healthier items in the machines, and pricing strategies that encourage the purchase of healthier items. A toolkit and approved snack list are available. http://www.adph.org/NUTRITION/index.asp?id=4929",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
AZ,county,2015,,,Policy,Administrative Rule,https://www.collectiveimpactforum.org/sites/defaultiles/initiative-,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Vending The Better Bites/Better Gulps vending program started in 2015 in Maricopa County, Arizona and requires that half of snacks and beverages sold in the vending machines meet the nutrition guidelines. At least half of foods sold in vending machines must contain <250 calories per item, <35 percent calories from fat (except 100% nut or seed packages), <10 percent calories from saturated fat, 0g trans fat, <35 percent sugar by weight (except fruits and vegetables with no added sweeteners or fats) with a maximum of 15g of total sugar per item, and <250mg sodium per item. Additionally, at least one item must have >10 percent fiber per serving, and sugarless gum is acceptable. Snacks must be sold in single-serving packages. Half of beverages must be either water; nonfat or low-fat dairy milk or calcium and vitamin-D fortified milk alternatives that are <200 calories per container; 100% fruit or vegetable juice in <12 ounce maximum containers, no added sweeteners, and <200mg of sodium per contain; tea or black coffee; or non- 2        caloric and low-calorie beverages (excluding energy drinks) that are <40 calories per container. Except for milk, which can be flavored, beverages cannot contain added caloric sweeteners. Food and beverages that meet the nutrition standards must be priced competitively and stocked according to the program’s Plan-o-Gram. https://www.maricopa.gov/1411/Healthy-Vending-Machines https://www.collectiveimpactforum.org/sites/defaultiles/initiative- documnts/2015_Q4_CHIP_workplan_1.8.16.pdf",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
AR,city,2016,,,Executive Order,Administrative Rule,,,0,0,1,0,0,0,1,0,0,CSPI,"Nutrition Standards: Vending In 2016, the mayor of Fayetteville signed an executive order requiring that healthier options be available in all vending machines located on the city’s property. Based on the American Heart Association’s healthy workplace food and beverage guidelines, none of the food products offered through vending can contain trans fat or more than 230 mg of sodium. One-quarter of the food options must be no more than 200 calories, with less than 10% of calories from saturated fat and less than 35% of the weight from sugars. At least half of the beverage offerings must be 40 calories or less, 100% fruit or vegetable juice with no added caloric sweeteners and fewer than 230 mg of sodium, or fat-free or low-fat milk. Policy is available upon request",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
AR,city,2017,,,Executive Order,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standard: Vending In May 2017, the City Manager of Little Rock signed an executive order that set nutrition standards for vending machines on city-owned buildings and property. All food items must contain 0g of trans fat and <230mg of sodium, and 25 percent of food products must contain <200 calories, less than 10 percent of calories from saturated fat, and less than 35 percent of total weight from sugar. At least half of beverages must be either <40 calories, 100 percent fruit or vegetable juice with no added caloric sweeteners and <230mg of sodium, or nonfat or low-fat milk. Consistent with federal law, calorie information must be available to consumers before they purchase an item. Full implementation must be in effect by June 30th, 2017.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
AR,city,,,,Policy,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standards: Meetings, Vending, and Concessions North Little Rock has a policy recommending that 50% of foods and beverages served at meetings and events and sold through vending machines be healthier options (using the NIH’s Go, Slow, Whoa criteria). The City also recommends at least two food and two beverage options at concession stands be healthier. Healthier options sold through vending and concessions should be competitively priced (lower or equal to unhealthy options) and displayed more prominently than other foods. http://nlr.ar.gov/government/council%20agenda/Resolutions/R-12-72.pdf 3",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AR,city,2017,,,Executive Order,Administrative Rule,,,1,0,1,0,0,0,0,0,0,CSPI,"Nutrition Standards: Vending In March 2017, the mayor of Rogers signed an executive order to increase healthy food and beverage options in all vending machines on city property. All vended food items must have 0g of trans fat and <230mg of sodium. Additionally, 25 percent of food items offered must contain <200 calories, <10 percent of calories from saturated fats, and <35 percent of the total weight from sugar. Half of the beverages sold in vending machines must be <40 calories, 100 percent juice with no added caloric sweeteners, 100 percent vegetable juice with <230mg of sodium, or be nonfat or low-fat milk. Consistent with federal law, the order requires that the calorie content of food and beverage items be clearly displayed at the point of purchase.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
