state,year,total_population,age_mean,age_elderly_pct,age_children_pct,age_toddler_pct,sex_female_pct,race_white_pct,race_black_pct,race_other_pct,urbanicity_index,cvd_death_rate,cvd_incidence_rate,median_household_income,number_efforts,number_efforts_children,number_efforts_elderly,number_efforts_educational_campaign,number_efforts_institutional_procurement,number_efforts_nutrition_standards,number_efforts_product_reformulation,number_efforts_school,number_efforts_cat1,number_efforts_cat5,number_efforts_cat3,number_efforts_children_cat,number_efforts_elderly_cat
AK,1969,294290,24.89073023,0.021855992,0.417251691,0.084804105,0.450715281,0.79068266,0.029844711,0.179472629,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1970,305328,25.03686855,0.022392313,0.411560682,0.08435846,0.453990463,0.791512734,0.030161007,0.178326259,56.9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1971,316366,25.18972962,0.022891208,0.406219379,0.084740459,0.457037103,0.792284885,0.030436267,0.177278848,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1972,326431,25.36582004,0.023438338,0.399692431,0.084045327,0.460051282,0.792516642,0.030717058,0.1767663,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1973,333134,25.56241332,0.024158447,0.393109079,0.082219167,0.46240852,0.788532542,0.031581886,0.179885572,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1974,344658,25.75550546,0.024821707,0.386185726,0.079528112,0.464515549,0.786074892,0.03222905,0.181696058,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1975,370866,25.86806825,0.024146188,0.380927343,0.076987375,0.467823958,0.786898772,0.032386361,0.180714867,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1976,392998,26.08404114,0.023732945,0.372772889,0.075646695,0.469434959,0.789830992,0.032196093,0.177972916,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1977,397220,26.33405166,0.024789789,0.363242032,0.075665878,0.46854388,0.790209456,0.032463119,0.177327426,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1978,402051,26.57310888,0.025827569,0.35616377,0.076890743,0.47019408,0.789561523,0.032781911,0.177656566,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1979,403367,26.82412047,0.027461344,0.348375053,0.077839784,0.469909536,0.788309406,0.033232763,0.178457831,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1980,404680,27.06630424,0.028958683,0.341976376,0.079853217,0.469971335,0.785939508,0.034496392,0.1795641,64.3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1981,418519,27.29020905,0.029898284,0.340314299,0.082039286,0.470731317,0.783821045,0.035408189,0.180770765,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1982,449608,27.51534448,0.029648049,0.335841444,0.08380189,0.47162417,0.782672906,0.036249355,0.181077739,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1983,488423,27.67056424,0.029150961,0.332875397,0.08569621,0.473130872,0.783255498,0.037053947,0.179690555,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1984,513697,27.78428334,0.029961242,0.333040684,0.087436757,0.473689743,0.782208189,0.037570786,0.180221025,,,,32356,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1985,532503,27.82017942,0.030953816,0.337021575,0.090100901,0.474171976,0.781437851,0.038424197,0.180137952,,,,34782,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1986,544270,27.8538593,0.032055781,0.339838683,0.090818895,0.473503959,0.778927738,0.039035773,0.182036489,,,,31356,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1987,539324,27.90121893,0.034185388,0.343661695,0.090515163,0.473272096,0.774654938,0.039657052,0.185688009,,,,33233,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1988,541999,28.29333449,0.036531433,0.336358554,0.086872854,0.473013788,0.769763413,0.040262067,0.18997452,,,,33103,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1989,547170,28.59513862,0.038647952,0.330886196,0.083356178,0.472653837,0.766039805,0.041016503,0.192943692,,,,36006,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1990,553290,28.66455204,0.040358582,0.333542988,0.082687198,0.472862333,0.765016537,0.040964051,0.194019411,67.5,108.9388148,546.6504616,39298,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1991,570193,29.02535457,0.041756037,0.332782058,0.080762128,0.473818514,0.765286491,0.040389833,0.194323676,,110.055795,549.0859094,40612,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1992,588736,29.4594674,0.042594643,0.327151728,0.07752541,0.473628248,0.763146809,0.042029025,0.194824166,,111.6903354,552.1134887,41802,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1993,599432,29.79476571,0.044095077,0.325606574,0.074352053,0.47426397,0.759043561,0.044336972,0.196619466,,114.6229493,557.3213512,42931,0,0,0,0,0,0,0,0,0,0,0,0,0
